SHORT NAME,GAMEID,AWAY,HOME,,,
Bengals,CINKC,CIN,KC,4733154,,"4733154,"
Bills,BUFMIA,BUF,MIA,4733156,,"4733156, 4733154,"
Saints,NODAL,NO,DAL,4733231,,"4733231, 4733156, 4733154,"
Raiders,LVBAL,LV,BAL,4733232,,"4733232, 4733231, 4733156, 4733154,"
Giants,NYGWAS,NYG,WAS,4733233,,"4733233, 4733232, 4733231, 4733156, 4733154,"
Chargers,LACCAR,LAC,CAR,4733234,,"4733234, 4733233, 4733232, 4733231, 4733156, 4733154,"
Colts,INDGB,IND,GB,4733235,,"4733235, 4733234, 4733233, 4733232, 4733231, 4733156, 4733154,"
49ers,SFMIN,SF,MIN,4733236,,"4733236, 4733235, 4733234, 4733233, 4733232, 4733231, 4733156, 4733154,"
Browns,CLEJAC,CLE,JAC,4733237,,"4733237, 4733236, 4733235, 4733234, 4733233, 4733232, 4733231, 4733156, 4733154,"
Seahawks,SEANE,SEA,NE,4733238,,"4733238, 4733237, 4733236, 4733235, 4733234, 4733233, 4733232, 4733231, 4733156, 4733154,"
Jets,NYJTEN,NYJ,TEN,4733239,,"4733239, 4733238, 4733237, 4733236, 4733235, 4733234, 4733233, 4733232, 4733231, 4733156, 4733154,"
Buccaneers,TBDET,TB,DET,4733240,,"4733240, 4733239, 4733238, 4733237, 4733236, 4733235, 4733234, 4733233, 4733232, 4733231, 4733156, 4733154,"
Rams,LARARI,LAR,ARI,4733241,,"4733241, 4733240, 4733239, 4733238, 4733237, 4733236, 4733235, 4733234, 4733233, 4733232, 4733231, 4733156, 4733154,"
Steelers,PITDEN,PIT,DEN,4733242,,"4733242, 4733241, 4733240, 4733239, 4733238, 4733237, 4733236, 4733235, 4733234, 4733233, 4733232, 4733231, 4733156, 4733154,"
Bears,CHIHOU,CHI,HOU,4733243,,"4733243, 4733242, 4733241, 4733240, 4733239, 4733238, 4733237, 4733236, 4733235, 4733234, 4733233, 4733232, 4733231, 4733156, 4733154,"
Falcons,ATLPHI,ATL,PHI,4733244,,"4733244, 4733243, 4733242, 4733241, 4733240, 4733239, 4733238, 4733237, 4733236, 4733235, 4733234, 4733233, 4733232, 4733231, 4733156, 4733154,"
