SHORT NAME,GAMEID,AWAY,HOME,GameInt,Spread,Total
49ers,SFNYG,SF,NYG,4765794,2.5,49
Bears,CHICIN,CHI,CIN,4765800,3,51
Bengals,CHICIN,CHI,CIN,4765800,3,51
Bills,KCBUF,KC,BUF,4765803,2,52
Broncos,DENHOU,DEN,HOU,4765793,-1.5,39.5
Cardinals,ARIDAL,ARI,DAL,4765805,-2.5,54
Chargers,LACTEN,LAC,TEN,4765798,9.5,43.5
Chiefs,KCBUF,KC,BUF,4765803,2,52
Colts,INDPIT,IND,PIT,4765795,3,51
Commanders,SEAWAS,SEA,WAS,4765804,3,47.5
Cowboys,ARIDAL,ARI,DAL,4765805,-2.5,54
Dolphins,BALMIA,BAL,MIA,4765792,7.5,51
Falcons,ATLNE,ATL,NE,4765799,-5.5,44.5
Giants,SFNYG,SF,NYG,4765794,2.5,49
Jaguars,JACLV,JAC,LV,4765801,3,44.5
Lions,MINDET,MIN,DET,4765797,-9.5,48
Packers,CARGB,CAR,GB,4765796,-13.5,44
Panthers,CARGB,CAR,GB,4765796,-13.5,44
Patriots,ATLNE,ATL,NE,4765799,-5.5,44.5
Pats,ATLNE,ATL,NE,4765799,-5.5,44.5
Raiders,JACLV,JAC,LV,4765801,3,44.5
Rams,NOLAR,NO,LAR,4765802,-14,44
Ravens,BALMIA,BAL,MIA,4765792,7.5,51
Saints,NOLAR,NO,LAR,4765802,-14,44
Seahawks,SEAWAS,SEA,WAS,4765804,3,47.5
Steelers,INDPIT,IND,PIT,4765795,3,51
Texans,DENHOU,DEN,HOU,4765793,-1.5,39.5
Titans,LACTEN,LAC,TEN,4765798,9.5,43.5
Vikings,MINDET,MIN,DET,4765797,-9.5,48
,,,,,,
GameIds,"[4765792, 4765793, 4765794, 4765795, 4765796, 4765797, 4765800, 4765798, 4765799, 4765801, 4765802, 4765803, 4765804, 4765805]",,,,,
