SHORT NAME,GAMEID,AWAY,HOME,,,
Packers,GBPHI,GB,PHI,4730734,,"4730734,"
Ravens,BALKC,BAL,KC,4733141,,"4733141, 4730734,"
Cowboys,DALCLE,DAL,CLE,4733152,,"4733152, 4733141, 4730734,"
Jets,NYJSF,NYJ,SF,4733153,,"4733153, 4733152, 4733141, 4730734,"
Panthers,CARNO,CAR,NO,4733219,,"4733219, 4733153, 4733152, 4733141, 4730734,"
Titans,TENCHI,TEN,CHI,4733220,,"4733220, 4733219, 4733153, 4733152, 4733141, 4730734,"
Texans,HOUIND,HOU,IND,4733221,,"4733221, 4733220, 4733219, 4733153, 4733152, 4733141, 4730734,"
Cardinals,ARIBUF,ARI,BUF,4733222,,"4733222, 4733221, 4733220, 4733219, 4733153, 4733152, 4733141, 4730734,"
Patriots,NECIN,NE,CIN,4733223,,"4733223, 4733222, 4733221, 4733220, 4733219, 4733153, 4733152, 4733141, 4730734,"
Jaguars,JACMIA,JAC,MIA,4733224,,"4733224, 4733223, 4733222, 4733221, 4733220, 4733219, 4733153, 4733152, 4733141, 4730734,"
Vikings,MINNYG,MIN,NYG,4733225,,"4733225, 4733224, 4733223, 4733222, 4733221, 4733220, 4733219, 4733153, 4733152, 4733141, 4730734,"
Steelers,PITATL,PIT,ATL,4733226,,"4733226, 4733225, 4733224, 4733223, 4733222, 4733221, 4733220, 4733219, 4733153, 4733152, 4733141, 4730734,"
Broncos,DENSEA,DEN,SEA,4733227,,"4733227, 4733226, 4733225, 4733224, 4733223, 4733222, 4733221, 4733220, 4733219, 4733153, 4733152, 4733141, 4730734,"
Raiders,LVLAC,LV,LAC,4733228,,"4733228, 4733227, 4733226, 4733225, 4733224, 4733223, 4733222, 4733221, 4733220, 4733219, 4733153, 4733152, 4733141, 4730734,"
Commanders,WASTB,WAS,TB,4733229,,"4733229, 4733228, 4733227, 4733226, 4733225, 4733224, 4733223, 4733222, 4733221, 4733220, 4733219, 4733153, 4733152, 4733141, 4730734,"
Rams,LARDET,LAR,DET,4733230,,"4733230, 4733229, 4733228, 4733227, 4733226, 4733225, 4733224, 4733223, 4733222, 4733221, 4733220, 4733219, 4733153, 4733152, 4733141, 4730734,"
