Source,Winner,Winner Score,Loser,Loser Score,GameID,GameIDInt,Away Code,Away Short Name,Away Full Name,Home Code,Home Short Name,Home Full Name,AwayScore,HomeScore,Spread,Total
PetePrisco,Ravens,27,Dolphins,17,BALMIA,4765792,BAL,Ravens,Baltimore Ravens,MIA,Dolphins,Miami Dolphins,27,17,7.5,51
PetePrisco,Patriots,23,Falcons,21,ATLNE,4765799,ATL,Falcons,Atlanta Falcons,NE,Patriots,New England Patriots,21,23,-5.5,44.5
PetePrisco,Packers,34,Panthers,17,CARGB,4765796,CAR,Panthers,Carolina Panthers,GB,Packers,Green Bay Packers,17,34,-13.5,44
PetePrisco,Bengals,34,Bears,29,CHICIN,4765800,CHI,Bears,Chicago Bears,CIN,Bengals,Cincinnati Bengals,29,34,3,51
PetePrisco,Texans,23,Broncos,20,DENHOU,4765793,DEN,Broncos,Denver Broncos,HOU,Texans,Houston Texans,20,23,-1.5,39.5
PetePrisco,Colts,37,Steelers,30,INDPIT,4765795,IND,Colts,Indianapolis Colts,PIT,Steelers,Pittsburgh Steelers,37,30,3,51
PetePrisco,Chargers,33,Titans,14,LACTEN,4765798,LAC,Chargers,Los Angeles Chargers,TEN,Titans,Tennessee Titans,33,14,9.5,43.5
PetePrisco,Lions,31,Vikings,20,MINDET,4765797,MIN,Vikings,Minnesota Vikings,DET,Lions,Detroit Lions,20,31,-9.5,48
PetePrisco,Giants,24,49ers,21,SFNYG,4765794,SF,49ers,San Francisco 49ers,NYG,Giants,New York Giants,21,24,2.5,49
PetePrisco,Jaguars,24,Raiders,19,JACLV,4765801,JAC,Jaguars,Jacksonville Jaguars,LV,Raiders,Las Vegas Raiders,24,19,3,44.5
PetePrisco,Rams,30,Saints,13,NOLAR,4765802,NO,Saints,New Orleans Saints,LAR,Rams,Los Angeles Rams,13,30,-14,44
PetePrisco,Bills,35,Chiefs,34,KCBUF,4765803,KC,Chiefs,Kansas City Chiefs,BUF,Bills,Buffalo Bills,34,35,2,52
PetePrisco,Commanders,24,Seahawks,20,SEAWAS,4765804,SEA,Seahawks,Seattle Seahawks,WAS,Commanders,Washington Commanders,20,24,3,47.5
PetePrisco,Cowboys,35,Cardinals,30,ARIDAL,4765805,ARI,Cardinals,Arizona Cardinals,DAL,Cowboys,Dallas Cowboys,30,35,-2.5,54
BillBender,Ravens,31,Dolphins,21,BALMIA,4765792,BAL,Ravens,Baltimore Ravens,MIA,Dolphins,Miami Dolphins,31,21,7.5,51
BillBender,Bengals,28,Bears,27,CHICIN,4765800,CHI,Bears,Chicago Bears,CIN,Bengals,Cincinnati Bengals,27,28,3,51
BillBender,Lions,36,Vikings,22,MINDET,4765797,MIN,Vikings,Minnesota Vikings,DET,Lions,Detroit Lions,22,36,-9.5,48
BillBender,Packers,28,Panthers,16,CARGB,4765796,CAR,Panthers,Carolina Panthers,GB,Packers,Green Bay Packers,16,28,-13.5,44
BillBender,Chargers,31,Titans,17,LACTEN,4765798,LAC,Chargers,Los Angeles Chargers,TEN,Titans,Tennessee Titans,31,17,9.5,43.5
BillBender,Patriots,26,Falcons,21,ATLNE,4765799,ATL,Falcons,Atlanta Falcons,NE,Patriots,New England Patriots,21,26,-5.5,44.5
BillBender,49ers,26,Giants,19,SFNYG,4765794,SF,49ers,San Francisco 49ers,NYG,Giants,New York Giants,26,19,2.5,49
BillBender,Colts,28,Steelers,22,INDPIT,4765795,IND,Colts,Indianapolis Colts,PIT,Steelers,Pittsburgh Steelers,28,22,3,51
BillBender,Broncos,32,Texans,29,DENHOU,4765793,DEN,Broncos,Denver Broncos,HOU,Texans,Houston Texans,32,29,-1.5,39.5
BillBender,Jaguars,21,Raiders,15,JACLV,4765801,JAC,Jaguars,Jacksonville Jaguars,LV,Raiders,Las Vegas Raiders,21,15,3,44.5
BillBender,Rams,30,Saints,13,NOLAR,4765802,NO,Saints,New Orleans Saints,LAR,Rams,Los Angeles Rams,13,30,-14,44
BillBender,Chiefs,28,Bills,24,KCBUF,4765803,KC,Chiefs,Kansas City Chiefs,BUF,Bills,Buffalo Bills,28,24,2,52
BillBender,Seahawks,23,Commanders,21,SEAWAS,4765804,SEA,Seahawks,Seattle Seahawks,WAS,Commanders,Washington Commanders,23,21,3,47.5
BillBender,Cowboys,30,Cardinals,24,ARIDAL,4765805,ARI,Cardinals,Arizona Cardinals,DAL,Cowboys,Dallas Cowboys,24,30,-2.5,54
DataSkrive,Ravens,27,Dolphins,26,BALMIA,4765792,BAL,Ravens,Baltimore Ravens,MIA,Dolphins,Miami Dolphins,27,26,7.5,51
DataSkrive,Bears,27,Bengals,25,CHICIN,4765800,CHI,Bears,Chicago Bears,CIN,Bengals,Cincinnati Bengals,27,25,3,51
