SHORT NAME,GAMEID,AWAY,HOME,GAMEINT,SPREAD,TOTAL
49ers,SEASF,SEA,SF,4765676,2.5,47.5
Bears,DETCHI,DET,CHI,4765922,-3,51
Bengals,CLECIN,CLE,CIN,4765926,-7.5,46
Bills,NYJBUF,NYJ,BUF,4765673,-12,39.5
Broncos,LACDEN,LAC,DEN,4765675,-15,38
Browns,CLECIN,CLE,CIN,4765926,-7.5,46
Buccaneers,CARTB,CAR,TB,4765920,-3,43
Bucs,CARTB,CAR,TB,4765920,-3,43
Cardinals,ARILAR,ARI,LAR,4765921,-14,49
Chargers,LACDEN,LAC,DEN,4765675,-15,38
Chiefs,KCLV,KC,LV,4765674,4,36
Colts,INDHOU,IND,HOU,4765923,-10.5,39
Commanders,WASPHI,WAS,PHI,4765924,-3,39
Cowboys,DALNYG,DAL,NYG,4765925,3,49
Dolphins,MIANE,MIA,NE,4765918,-14,44.5
Eagles,WASPHI,WAS,PHI,4765924,-3,39
Falcons,NOATL,NO,ATL,4765671,-3.5,44
Giants,DALNYG,DAL,NYG,4765925,3,49
Jaguars,TENJAX,TEN,JAX,4765919,-13.5,48
Jets,NYJBUF,NYJ,BUF,4765673,-12,39.5
Lions,DETCHI,DET,CHI,4765922,-3,51
Packers,GBMIN,GB,MIN,4765917,-10.5,37
Panthers,CARTB,CAR,TB,4765920,-3,43
Patriots,MIANE,MIA,NE,4765918,-14,44.5
Pats,MIANE,MIA,NE,4765918,-14,44.5
Raiders,KCLV,KC,LV,4765674,4,36
Rams,ARILAR,ARI,LAR,4765921,-14,49
Ravens,BALPIT,BAL,PIT,4765672,3.5,41.5
Saints,NOATL,NO,ATL,4765671,-3.5,44
Seahawks,SEASF,SEA,SF,4765676,2.5,47.5
Steelers,BALPIT,BAL,PIT,4765672,3.5,41.5
Texans,INDHOU,IND,HOU,4765923,-10.5,39
Titans,TENJAX,TEN,JAX,4765919,-13.5,48
Vikings,GBMIN,GB,MIN,4765917,-10.5,37
,,,,,,
,,,,,,
GameIds,"[4765671, 4765672, 4765673, 4765674, 4765675, 4765676, 4765917, 4765918, 4765919, 4765920, 4765921, 4765922, 4765923, 4765924, 4765925, 4765926]",,,,,
