SHORT NAME,GAMEID,AWAY,HOME,GAMEINT,SPREAD,TOTAL
49ers,CHISF,CHI,SF,4765915,-3.5,52.5
Bears,CHISF,CHI,SF,4765915,-3.5,52.5
Bengals,ARICIN,ARI,CIN,4765909,-7.5,53
Bills,PHIBUF,PHI,BUF,4765914,-1,44
Broncos,DENKC,DEN,KC,4765627,13.5,38.5
Browns,PITCLE,PIT,CLE,4765908,3,34.5
Buccaneers,TBMIA,TB,MIA,4765904,6,46
Bucs,TBMIA,TB,MIA,4765904,6,46
Cardinals,ARICIN,ARI,CIN,4765909,-7.5,53
Chargers,HOULAC,HOU,LAC,4765906,-1,39.5
Chiefs,DENKC,DEN,KC,4765627,13.5,38.5
Colts,JAXIND,JAX,IND,4765912,6,48
Commanders,DALWAS,DAL,WAS,4765665,10,50.5
Cowboys,DALWAS,DAL,WAS,4765665,10,50.5
Dolphins,TBMIA,TB,MIA,4765904,6,46
Eagles,PHIBUF,PHI,BUF,4765914,-1,44
Falcons,LARATL,LAR,ATL,4765916,9,50
Giants,NYGLV,NYG,LV,4765907,1,41.5
Jaguars,JAXIND,JAX,IND,4765912,6,48
Jets,NENYJ,NE,NYJ,4765905,13.5,43
Lions,DETMIN,DET,MIN,4765666,7,45
Packers,BALGB,BAL,GB,4765911,-3.5,40.5
Panthers,SEACAR,SEA,CAR,4765913,7,43
Patriots,NENYJ,NE,NYJ,4765905,13.5,43
Pats,NENYJ,NE,NYJ,4765905,13.5,43
Raiders,NYGLV,NYG,LV,4765907,1,41.5
Rams,LARATL,LAR,ATL,4765916,9,50
Ravens,BALGB,BAL,GB,4765911,-3.5,40.5
Saints,NOTEN,NO,TEN,4765910,2.5,39.5
Seahawks,SEACAR,SEA,CAR,4765913,7,43
Steelers,PITCLE,PIT,CLE,4765908,3,34.5
Texans,HOULAC,HOU,LAC,4765906,-1,39.5
Titans,NOTEN,NO,TEN,4765910,2.5,39.5
Vikings,DETMIN,DET,MIN,4765666,7,45
,,,,,,
,,,,,,
GameIds,"[4765627, 4765665, 4765666, 4765904, 4765905, 4765906, 4765907, 4765908, 4765909, 4765910, 4765911, 4765912, 4765913, 4765914, 4765915, 4765916]",,,,,
