SHORT NAME,GAMEID,AWAY,HOME,GAMEINT,SPREAD,TOTAL
49ers,SFIND,SF,IND,4765903,5.5,46.5
Bears,GBCHI,GB,CHI,4765624,-1,47
Bengals,CINMIA,CIN,MIA,4765902,4,47.5
Bills,BUFCLE,BUF,CLE,4765891,10.5,41.5
Broncos,JAXDEN,JAX,DEN,4765898,-3,47
Browns,BUFCLE,BUF,CLE,4765891,10.5,41.5
Buccaneers,TBCAR,TB,CAR,4765895,3,45.5
Bucs,TBCAR,TB,CAR,4765895,3,45.5
Cardinals,ATLARI,ATL,ARI,4765899,3,48
Chargers,LACDAL,LAC,DAL,4765892,-2,50
Chiefs,KCTEN,KC,TEN,4765897,3,37.5
Colts,SFIND,SF,IND,4765903,5.5,46.5
Commanders,PHIWAS,PHI,WAS,4765625,7,44.5
Cowboys,LACDAL,LAC,DAL,4765892,-2,50
Dolphins,CINMIA,CIN,MIA,4765902,4,47.5
Eagles,PHIWAS,PHI,WAS,4765625,7,44.5
Falcons,ATLARI,ATL,ARI,4765899,3,48
Giants,MINNYG,MIN,NYG,4765896,3,43.5
Jaguars,JAXDEN,JAX,DEN,4765898,-3,47
Jets,NYJNO,NYJ,NO,4765894,-4.5,40.5
Lions,PITDET,PIT,DET,4765901,-6.5,52
Packers,GBCHI,GB,CHI,4765624,-1,47
Panthers,TBCAR,TB,CAR,4765895,3,45.5
Patriots,NEBAL,NE,BAL,4765893,-3,48
Pats,NEBAL,NE,BAL,4765893,-3,48
Raiders,LVHOU,LV,HOU,4765900,-14,38.5
Rams,LARSEA,LAR,SEA,4765890,-1.5,43
Ravens,NEBAL,NE,BAL,4765893,-3,48
Saints,NYJNO,NYJ,NO,4765894,-4.5,40.5
Seahawks,LARSEA,LAR,SEA,4765890,-1.5,43
Steelers,PITDET,PIT,DET,4765901,-6.5,52
Texans,LVHOU,LV,HOU,4765900,-14,38.5
Titans,KCTEN,KC,TEN,4765897,3,37.5
Vikings,MINNYG,MIN,NYG,4765896,3,43.5
,,,,,,
,,,,,,
GameIds,"[4765624, 4765625, 4765890, 4765891, 4765892, 4765893, 4765894, 4765895, 4765896, 4765897, 4765898, 4765899, 4765900, 4765901, 4765902, 4765903]",,,,,
