SHORT NAME,GAMEID,AWAY,HOME,GAMEINT,SPREAD,TOTAL
49ers,MIASF,MIA,SF,4798305,-13,45
Bears,MINCHI,MIN,CHI,4798287,-4,48
Bengals,CINHOU,CIN,HOU,4798296,-2.5,46
Bills,DETBUF,DET,BUF,4798194,-5.5,55
Broncos,JAXDEN,JAX,DEN,4798300,-2.5,45.5
Browns,CLETB,CLE,TB,4798298,-8,41.5
Buccaneers,CLETB,CLE,TB,4798298,-8,41.5
Bucs,CLETB,CLE,TB,4798298,-8,41.5
Cardinals,SEAARI,SEA,ARI,4798304,4,40.5
Chargers,LVLAC,LV,LAC,4798303,-6.5,43
Chiefs,INDKC,IND,KC,4798307,-6.5,46.5
Colts,INDKC,IND,KC,4798307,-6.5,46.5
Commanders,WASDAL,WAS,DAL,4798306,-4,50
Cowboys,WASDAL,WAS,DAL,4798306,-4,50
Dolphins,MIASF,MIA,SF,4798305,-13,45
Eagles,PHITEN,PHI,TEN,4798282,7.5,39
Falcons,CARATL,CAR,ATL,4798289,2.5,44
Giants,NYGLAR,NYG,LAR,4798308,-7,48
Jaguars,JAXDEN,JAX,DEN,4798300,-2.5,45.5
Jets,GBNYJ,GB,NYJ,4798291,3.5,44.5
Lions,DETBUF,DET,BUF,4798194,-5.5,55
Packers,GBNYJ,GB,NYJ,4798291,3.5,44.5
Panthers,CARATL,CAR,ATL,4798289,2.5,44
Patriots,PITNE,PIT,NE,4798285,-4.5,41.5
Pats,PITNE,PIT,NE,4798285,-4.5,41.5
Raiders,LVLAC,LV,LAC,4798303,-6.5,43
Rams,NYGLAR,NYG,LAR,4798308,-7,48
Ravens,NOBAL,NO,BAL,4798294,-7.5,46
Saints,NOBAL,NO,BAL,4798294,-7.5,46
Seahawks,SEAARI,SEA,ARI,4798304,4,40.5
Steelers,PITNE,PIT,NE,4798285,-4.5,41.5
Texans,CINHOU,CIN,HOU,4798296,-2.5,46
Titans,PHITEN,PHI,TEN,4798282,7.5,39
Vikings,MINCHI,MIN,CHI,4798287,-4,48
,,,,,,
GameIds,"[4798194, 4798282, 4798285, 4798287, 4798289, 4798291, 4798294, 4798296, 4798300, 4798303, 4798304, 4798305, 4798306, 4798307, 4798308, 4798298]",,,,,
