AOs,Drive Name,Drive Date/Time,Drive Link
"Sasquatch, Speakeasy, Thunderdome",North Kirkland Community Center,05/07/2025 9:00 am - 3:00 pm,https://donate.bloodworksnw.org/donor/schedules/drive_schedule/92640
"Sasquatch, Speakeasy, Thunderdome",Advent Church,05/11/2025 8:00 am - 2:00 pm,https://donate.bloodworksnw.org/donor/schedules/drive_schedule/90250
"Sasquatch, Speakeasy, Thunderdome",UW Bothell/Cascadia College,05/12/2025 10:00 am - 4:00 pm,https://donate.bloodworksnw.org/donor/schedules/drive_schedule/91541
"Sasquatch, Speakeasy, Thunderdome",BDA,05/14/2025 9:00 am - 3:00 pm,https://donate.bloodworksnw.org/donor/schedules/drive_schedule/90105
"Sasquatch, Speakeasy, Thunderdome",Northshore YMCA,05/16/2025 10:00 am - 4:00 pm,https://donate.bloodworksnw.org/donor/schedules/drive_schedule/87054
"Sasquatch, Speakeasy, Thunderdome",Northshore School District,05/20/2025 9:00 am - 3:00 pm,https://donate.bloodworksnw.org/donor/schedules/drive_schedule/82294
"Sasquatch, Speakeasy, Thunderdome",Shoreline Fire Department – Station 51,05/27/2025 9:00 am - 3:00 pm,https://donate.bloodworksnw.org/donor/schedules/drive_schedule/90217
"Sasquatch, Speakeasy, Thunderdome",The Mountaineers,05/29/2025 10:00 am - 4:00 pm,https://donate.bloodworksnw.org/donor/schedules/drive_schedule/78037
"Sasquatch, Speakeasy, Thunderdome",City of Redmond,06/03/2025 9:00 am - 3:00 pm,https://donate.bloodworksnw.org/donor/schedules/drive_schedule/85913
"Sasquatch, Speakeasy, Thunderdome",Parklands North Creek,06/04/2025 9:00 am - 3:00 pm,https://donate.bloodworksnw.org/donor/schedules/drive_schedule/90205
