SHORT NAME,GAMEID,AWAY,HOME,GameID,Spread,Total
49ers,SFSEA,SF,SEA,4765685,1,43.5
Bears,MINCHI,MIN,CHI,4765690,1,44
Bengals,CINCLE,CIN,CLE,4765683,5,47.5
Bills,BALBUF,BAL,BUF,4765689,1,50.5
Broncos,TENDEN,TEN,DEN,4765686,-8,42.5
Browns,CINCLE,CIN,CLE,4765683,5,47.5
Buccaneers,TBATL,TB,ATL,4765677,1,47.5
Bucs,TBATL,TB,ATL,4765677,1,47.5
Cardinals,ARINO,ARI,NO,4765682,6,43.5
Chargers,KCLAC,KC,LAC,4765668,3,47.5
Chiefs,KCLAC,KC,LAC,4765668,3,47.5
Colts,MIAIND,MIA,IND,4765679,1,46.5
Commanders,NYGWAS,NYG,WAS,4765681,-6,45.5
Cowboys,DALPHI,DAL,PHI,4765610,-8,48
Dolphins,MIAIND,MIA,IND,4765679,1,46.5
Eagles,DALPHI,DAL,PHI,4765610,-8,48
Falcons,TBATL,TB,ATL,4765677,1,47.5
Giants,NYGWAS,NYG,WAS,4765681,-6,45.5
Jaguars,CARJAC,CAR,JAC,4765680,-3.5,46.5
Jets,PITNYJ,PIT,NYJ,4765678,2.5,38
Lions,DETGB,DET,GB,4765687,-2.5,47.5
Packers,DETGB,DET,GB,4765687,-2.5,47.5
Panthers,CARJAC,CAR,JAC,4765680,-3.5,46.5
Patriots,LVNE,LV,NE,4765684,-2.5,44.5
Pats,LVNE,LV,NE,4765684,-2.5,44.5
Raiders,LVNE,LV,NE,4765684,-2.5,44.5
Rams,HOULAR,HOU,LAR,4765688,-3,42.5
Ravens,BALBUF,BAL,BUF,4765689,1,50.5
Saints,ARINO,ARI,NO,4765682,6,43.5
Seahawks,SFSEA,SF,SEA,4765685,1,43.5
Steelers,PITNYJ,PIT,NYJ,4765678,2.5,38
Texans,HOULAR,HOU,LAR,4765688,-3,42.5
Titans,TENDEN,TEN,DEN,4765686,-8,42.5
Vikings,MINCHI,MIN,CHI,4765690,1,44
