SHORT NAME,GAMEID,AWAY,HOME,GAMEINT,SPREAD,TOTAL
49ers,SFLAR,SF,LAR,4798105,-3.5,48
Bears,CHICAR,CHI,CAR,4798260,3.5,46.5
Bengals,TBCIN,TB,CIN,4798263,-3.5,50
Bills,BUFHOU,BUF,HOU,4798266,1,44.5
Broncos,DENKC,DEN,KC,4798219,-2.5,43.5
Browns,CLEJAX,CLE,JAX,4798276,-8.5,40.5
Buccaneers,TBCIN,TB,CIN,4798263,-3.5,50
Bucs,TBCIN,TB,CIN,4798263,-3.5,50
Cardinals,ARILAC,ARI,LAC,4798267,-9,47
Chargers,ARILAC,ARI,LAC,4798267,-9,47
Chiefs,DENKC,DEN,KC,4798219,-2.5,43.5
Colts,BALIND,BAL,IND,4798261,3.5,47.5
Commanders,WASPHI,WAS,PHI,4798270,-4.5,44
Cowboys,DALNYG,DAL,NYG,4798175,3,47.5
Dolphins,MIALV,MIA,LV,4798269,-3,40.5
Eagles,WASPHI,WAS,PHI,4798270,-4.5,44
Falcons,ATLPIT,ATL,PIT,4798262,-3.5,41.5
Giants,DALNYG,DAL,NYG,4798175,3,47.5
Jaguars,CLEJAX,CLE,JAX,4798276,-8.5,40.5
Jets,NYJTEN,NYJ,TEN,4798264,0,39
Lions,NODET,NO,DET,4798265,-7,49.5
Packers,GBMIN,GB,MIN,4798268,-1,46
Panthers,CHICAR,CHI,CAR,4798260,3.5,46.5
Patriots,NESEA,NE,SEA,4798259,-3,44.5
Pats,NESEA,NE,SEA,4798259,-3,44.5
Raiders,MIALV,MIA,LV,4798269,-3,40.5
Rams,SFLAR,SF,LAR,4798105,-3.5,48
Ravens,BALIND,BAL,IND,4798261,3.5,47.5
Saints,NODET,NO,DET,4798265,-7,49.5
Seahawks,NESEA,NE,SEA,4798259,-3,44.5
Steelers,ATLPIT,ATL,PIT,4798262,-3.5,41.5
Texans,BUFHOU,BUF,HOU,4798266,1,44.5
Titans,NYJTEN,NYJ,TEN,4798264,0,39
Vikings,GBMIN,GB,MIN,4798268,-1,46
,,,,,,
,,,,,,
GameIds,"[4798260, 4798268, 4798264, 4798105, 4798259, 4798261, 4798266, 4798269, 4798270, 4798175, 4798262, 4798265, 4798267, 4798263, 4798219, 4798276]",,,,,
