Source,Winner,Winner Score,Loser,Loser Score
TylerSullivan,Vikings,23,Browns,17
TylerSullivan,Lions,33,Bengals,17
TylerSullivan,Rams,28,49ers,20
TylerSullivan,Dolphins,23,Panthers,20
TylerSullivan,Chiefs,24,Jaguars,21
TylerSullivan,Colts,28,Raiders,20
TylerSullivan,Saints,23,Giants,20
TylerSullivan,Cowboys,30,Jets,23
TylerSullivan,Eagles,27,Broncos,21
TylerSullivan,Texans,24,Ravens,20
TylerSullivan,Cardinals,28,Titans,17
TylerSullivan,Seahawks,24,Buccaneers,23
TylerSullivan,Chargers,27,Commanders,23
TylerSullivan,Bills,33,Patriots,21
PetePrisco,Rams,27,49ers,20
PetePrisco,Vikings,20,Browns,17
PetePrisco,Cowboys,30,Jets,20
PetePrisco,Eagles,24,Broncos,23
PetePrisco,Texans,21,Ravens,20
PetePrisco,Colts,30,Raiders,27
PetePrisco,Dolphins,24,Panthers,19
PetePrisco,Saints,23,Giants,17
PetePrisco,Buccaneers,26,Seahawks,23
PetePrisco,Cardinals,27,Titans,13
PetePrisco,Lions,33,Bengals,20
PetePrisco,Chargers,34,Commanders,24
PetePrisco,Bills,31,Patriots,20
PetePrisco,Jaguars,23,Chiefs,21
BillBender,Rams,24,49ers,22
BillBender,Vikings,20,Browns,14
BillBender,Colts,28,Raiders,21
BillBender,Saints,17,Giants,16
BillBender,Cowboys,31,Jets,24
BillBender,Eagles,26,Broncos,21
BillBender,Dolphins,26,Panthers,23
BillBender,Ravens,26,Texans,21
BillBender,Cardinals,24,Titans,17
BillBender,Buccaneers,28,Seahawks,27
BillBender,Lions,31,Bengals,20
BillBender,Chargers,24,Commanders,21
BillBender,Bills,30,Patriots,22
BillBender,Chiefs,28,Jaguars,24
DataSkrive,Rams,23,49ers,19
DataSkrive,Vikings,27,Browns,16
DataSkrive,Cowboys,29,Jets,28
DataSkrive,Colts,33,Raiders,15
DataSkrive,Panthers,27,Dolphins,20
DataSkrive,Giants,23,Saints,22
DataSkrive,Ravens,25,Texans,22
DataSkrive,Eagles,29,Broncos,16
DataSkrive,Seahawks,29,Buccaneers,17
DataSkrive,Cardinals,30,Titans,11
DataSkrive,Lions,32,Bengals,18
DataSkrive,Chargers,26,Commanders,19
DataSkrive,Bills,30,Patriots,21
DataSkrive,Jaguars,22,Chiefs,21
TimCrean,Rams,23,2,0
TimCrean,Browns,19,1,8
TimCrean,Texans,24,2,0
TimCrean,Giants,16,1,3
TimCrean,Colts,24,2,3
TimCrean,Eagles,28,2,7
TimCrean,Cowboys,30,1,6
TimCrean,Cardinals,28,,9
TimCrean,Seahawks,28,2,1
TimCrean,Chargers,23,1,6
TimCrean,Lions,31,1,3
TimCrean,Bills,28,2,1
TimCrean,Chiefs,32,2,3
