SHORT NAME,GAMEID,AWAY,HOME,GAMEINT,SPREAD,TOTAL
49ers,SFCLE,SF,CLE,4765853,5.5,38
Bears,CHIPHI,CHI,PHI,4765626,-7,44.5
Bengals,CINBAL,CIN,BAL,4765847,-7,52
Bills,BUFPIT,BUF,PIT,4765856,3.5,48
Broncos,DENWAS,DEN,WAS,4765858,6.5,43
Browns,SFCLE,SF,CLE,4765853,5.5,38
Buccaneers,ARITB,ARI,TB,4765852,-3,45
Bucs,ARITB,ARI,TB,4765852,-3,45
Cardinals,ARITB,ARI,TB,4765852,-3,45
Chargers,LVLAC,LV,LAC,4765857,-10,41
Chiefs,KCDAL,KC,DAL,4765651,3,52
Colts,HOUIND,HOU,IND,4765854,-5,44
Commanders,DENWAS,DEN,WAS,4765858,6.5,43
Cowboys,KCDAL,KC,DAL,4765651,3,52
Dolphins,NOMIA,NO,MIA,4765851,-6,41.5
Eagles,CHIPHI,CHI,PHI,4765626,-7,44.5
Falcons,ATLNYJ,ATL,NYJ,4765849,2.5,39.5
Giants,NYGNE,NYG,NE,4765859,-7.5,47.5
Jaguars,JAXTEN,JAX,TEN,4765848,6.5,41.5
Jets,ATLNYJ,ATL,NYJ,4765849,2.5,39.5
Lions,GBDET,GB,DET,4765846,-2.5,48.5
Packers,GBDET,GB,DET,4765846,-2.5,48.5
Panthers,LARCAR,LAR,CAR,4765850,11,45
Patriots,NYGNE,NYG,NE,4765859,-7.5,47.5
Pats,NYGNE,NYG,NE,4765859,-7.5,47.5
Raiders,LVLAC,LV,LAC,4765857,-10,41
Rams,LARCAR,LAR,CAR,4765850,11,45
Ravens,CINBAL,CIN,BAL,4765847,-7,52
Saints,NOMIA,NO,MIA,4765851,-6,41.5
Seahawks,MINSEA,MIN,SEA,4765855,-10.5,41
Steelers,BUFPIT,BUF,PIT,4765856,3.5,48
Texans,HOUIND,HOU,IND,4765854,-5,44
Titans,JAXTEN,JAX,TEN,4765848,6.5,41.5
Vikings,MINSEA,MIN,SEA,4765855,-10.5,41
,,,,,,
,,,,,,
GameIds,"[4765626, 4765651, 4765846, 4765847, 4765848, 4765849, 4765850, 4765851, 4765852, 4765853, 4765854, 4765855, 4765856, 4765857, 4765858, 4765859]",,,,,
