Source,Winner,Winner Score,Loser,Loser Score,GameID,GameIDInt,Away Code,Away Short Name,Away Full Name,Home Code,Home Short Name,Home Full Name,AwayScore,HomeScore,Spread,Total
BillBender,Lions,28,Packers,20,GBDET,4765846,GB,Packers,Green Bay Packers,DET,Lions,Detroit Lions,20,28,-2.5,48.5
BillBender,Chiefs,30,Cowboys,24,KCDAL,4765651,KC,Chiefs,Kansas City Chiefs,DAL,Cowboys,Dallas Cowboys,30,24,3,52
BillBender,Ravens,27,Bengals,24,CINBAL,4765847,CIN,Bengals,Cincinnati Bengals,BAL,Ravens,Baltimore Ravens,24,27,-7,52
BillBender,Eagles,28,Bears,20,CHIPHI,4765626,CHI,Bears,Chicago Bears,PHI,Eagles,Philadelphia Eagles,20,28,-7,44.5
BillBender,49ers,20,Browns,14,SFCLE,4765853,SF,49ers,San Francisco 49ers,CLE,Browns,Cleveland Browns,20,14,5.5,38
BillBender,Jaguars,24,Titans,16,JACTEN,4765848,JAC,Jaguars,Jacksonville Jaguars,TEN,Titans,Tennessee Titans,24,16,6.5,41.5
BillBender,Texans,28,Colts,27,HOUIND,4765854,HOU,Texans,Houston Texans,IND,Colts,Indianapolis Colts,28,27,-5,44
BillBender,Dolphins,26,Saints,13,NOMIA,4765851,NO,Saints,New Orleans Saints,MIA,Dolphins,Miami Dolphins,13,26,-6,41.5
BillBender,Falcons,17,Jets,13,ATLNYJ,4765849,ATL,Falcons,Atlanta Falcons,NYJ,Jets,New York Jets,17,13,2.5,39.5
BillBender,Buccaneers,21,Cardinals,19,ARITB,4765852,ARI,Cardinals,Arizona Cardinals,TB,Buccaneers,Tampa Bay Buccaneers,19,21,-3,45
BillBender,Rams,31,Panthers,22,LARCAR,4765850,LAR,Rams,Los Angeles Rams,CAR,Panthers,Carolina Panthers,31,22,11,45
BillBender,Seahawks,33,Vikings,20,MINSEA,4765855,MIN,Vikings,Minnesota Vikings,SEA,Seahawks,Seattle Seahawks,20,33,-10.5,41
BillBender,Bills,29,Steelers,22,BUFPIT,4765856,BUF,Bills,Buffalo Bills,PIT,Steelers,Pittsburgh Steelers,29,22,3.5,48
BillBender,Chargers,24,Raiders,14,LVLAC,4765857,LV,Raiders,Las Vegas Raiders,LAC,Chargers,Los Angeles Chargers,14,24,-10,41
BillBender,Broncos,28,Commanders,17,DENWAS,4765858,DEN,Broncos,Denver Broncos,WAS,Commanders,Washington Commanders,28,17,6.5,43
BillBender,Patriots,24,Giants,17,NYGNE,4765859,NYG,Giants,New York Giants,NE,Patriots,New England Patriots,17,24,-7.5,47.5
DataSkrive,Lions,26,Packers,21,GBDET,4765846,GB,Packers,Green Bay Packers,DET,Lions,Detroit Lions,21,26,-2.5,48.5
DataSkrive,Chiefs,27,Cowboys,23,KCDAL,4765651,KC,Chiefs,Kansas City Chiefs,DAL,Cowboys,Dallas Cowboys,27,23,3,52
DataSkrive,Ravens,34,Bengals,18,CINBAL,4765847,CIN,Bengals,Cincinnati Bengals,BAL,Ravens,Baltimore Ravens,18,34,-7,52
DataSkrive,Eagles,29,Bears,19,CHIPHI,4765626,CHI,Bears,Chicago Bears,PHI,Eagles,Philadelphia Eagles,19,29,-7,44.5
DataSkrive,Buccaneers,30,Cardinals,19,ARITB,4765852,ARI,Cardinals,Arizona Cardinals,TB,Buccaneers,Tampa Bay Buccaneers,19,30,-3,45
DataSkrive,49ers,27,Browns,15,SFCLE,4765853,SF,49ers,San Francisco 49ers,CLE,Browns,Cleveland Browns,27,15,5.5,38
DataSkrive,Dolphins,24,Saints,19,NOMIA,4765851,NO,Saints,New Orleans Saints,MIA,Dolphins,Miami Dolphins,19,24,-6,41.5
DataSkrive,Colts,24,Texans,21,HOUIND,4765854,HOU,Texans,Houston Texans,IND,Colts,Indianapolis Colts,21,24,-5,44
DataSkrive,Rams,31,Panthers,12,LARCAR,4765850,LAR,Rams,Los Angeles Rams,CAR,Panthers,Carolina Panthers,31,12,11,45
DataSkrive,Jaguars,27,Titans,18,JACTEN,4765848,JAC,Jaguars,Jacksonville Jaguars,TEN,Titans,Tennessee Titans,27,18,6.5,41.5
DataSkrive,Falcons,24,Jets,20,ATLNYJ,4765849,ATL,Falcons,Atlanta Falcons,NYJ,Jets,New York Jets,24,20,2.5,39.5
DataSkrive,Seahawks,33,Vikings,14,MINSEA,4765855,MIN,Vikings,Minnesota Vikings,SEA,Seahawks,Seattle Seahawks,14,33,-10.5,41
DataSkrive,Bills,26,Steelers,24,BUFPIT,4765856,BUF,Bills,Buffalo Bills,PIT,Steelers,Pittsburgh Steelers,26,24,3.5,48
DataSkrive,Chargers,28,Raiders,14,LVLAC,4765857,LV,Raiders,Las Vegas Raiders,LAC,Chargers,Los Angeles Chargers,14,28,-10,41
DataSkrive,Broncos,28,Commanders,17,DENWAS,4765858,DEN,Broncos,Denver Broncos,WAS,Commanders,Washington Commanders,28,17,6.5,43
DataSkrive,Patriots,30,Giants,18,NYGNE,4765859,NYG,Giants,New York Giants,NE,Patriots,New England Patriots,18,30,-7.5,47.5
Jeremy Cluff,Lions,27,Packers,24,GBDET,4765846,GB,Packers,Green Bay Packers,DET,Lions,Detroit Lions,24,27,-2.5,48.5
Jeremy Cluff,Cowboys,30,Chiefs,27,KCDAL,4765651,KC,Chiefs,Kansas City Chiefs,DAL,Cowboys,Dallas Cowboys,27,30,3,52
