Source,Winner,Winner Score,Loser,Loser Score
BrookeNFL,Patriots,23,Bills,21
DanNFL,Patriots,20,Bills,17
GennaroNFL,Patriots,21,Bills,20
TomNFL,Patriots,20,Bills,16
AliNFL,Giants,21,Eagles,18
BrookeNFL,Eagles,22,Giants,17
DanNFL,Eagles,20,Giants,16
GennaroNFL,Eagles,18,Giants,16
TomNFL,Giants,21,Eagles,17
AliNFL,Buccaneers,31,Saints,17
BrookeNFL,Buccaneers,33,Saints,20
DanNFL,Buccaneers,31,Saints,10
GennaroNFL,Buccaneers,25,Saints,16
TomNFL,Buccaneers,30,Saints,14
AliNFL,Texans,21,Titans,18
BrookeNFL,Titans,20,Texans,17
DanNFL,Texans,20,Titans,18
GennaroNFL,Texans,23,Titans,14
TomNFL,Texans,21,Titans,17
AliNFL,Cardinals,23,49ers,20
BrookeNFL,Cardinals,24,49ers,19
DanNFL,49ers,21,Cardinals,20
GennaroNFL,Cardinals,23,49ers,17
TomNFL,Cardinals,24,49ers,17
AliNFL,Broncos,26,Chiefs,16
BrookeNFL,Broncos,27,Chiefs,21
DanNFL,Broncos,25,Chiefs,13
GennaroNFL,Broncos,26,Chiefs,14
TomNFL,Broncos,23,Chiefs,17
AliNFL,Seahawks,27,Rams,17
BrookeNFL,Seahawks,27,Rams,17
DanNFL,Seahawks,23,Rams,15
GennaroNFL,Seahawks,20,Rams,10
TomNFL,Seahawks,27,Rams,14
AliNFL,Chargers,23,Raiders,17
BrookeNFL,Chargers,20,Raiders,16
DanNFL,Chargers,23,Raiders,17
GennaroNFL,Chargers,16,Raiders,9
TomNFL,Chargers,25,Raiders,17
AliNFL,Jets,20,Dolphins,18
BrookeNFL,Jets,26,Dolphins,14
DanNFL,Dolphins,21,Jets,16
GennaroNFL,Jets,24,Dolphins,17
TomNFL,Dolphins,21,Jets,18
AliNFL,Lions,34,Vikings,31
BrookeNFL,Vikings,30,Lions,27
DanNFL,Vikings,29,Lions,27
GennaroNFL,Lions,34,Vikings,30
TomNFL,Lions,30,Vikings,27
