Source,Winner,Winner Score,Loser,Loser Score,GameID,GameIDInt,Away Code,Away Short Name,Away Full Name,Home Code,Home Short Name,Home Full Name,AwayScore,HomeScore,Spread,Total
BrookeNFL,Jaguars,24,Texans,21,HOUJAC,4765715,HOU,Texans,Houston Texans,JAC,Jaguars,Jacksonville Jaguars,21,24,-1.5,44
BrookeNFL,Packers,25,Browns,18,GBCLE,4765716,GB,Packers,Green Bay Packers,CLE,Browns,Cleveland Browns,25,18,7,41.5
BrookeNFL,Chargers,26,Broncos,22,DENLAC,4765717,DEN,Broncos,Denver Broncos,LAC,L.A. Chargers,Los Angeles Chargers,22,22,-3,46
BrookeNFL,Seahawks,31,Saints,20,NOSEA,4765718,NO,Saints,New Orleans Saints,SEA,Seahawks,Seattle Seahawks,20,31,-7,42
BrookeNFL,49ers,24,Cardinals,20,ARISF,4765719,ARI,Cardinals,Arizona Cardinals,SF,49ers,San Francisco 49ers,20,24,-3,44.5
BrookeNFL,Bears,29,Cowboys,27,DALCHI,4765720,DAL,Cowboys,Dallas Cowboys,CHI,Bears,Chicago Bears,27,29,1,50.5
BrookeNFL,Chiefs,24,Giants,19,KCNYG,4765721,KC,Chiefs,Kansas City Chiefs,NYG,N.Y. Giants,New York Giants,24,19,6,45
BrookeNFL,Ravens,33,Lions,26,DETBAL,4765722,DET,Lions,Detroit Lions,BAL,Ravens,Baltimore Ravens,26,33,-4.5,53
ChatPilot,Bills,34,Dolphins,17,MIABUF,4765707,MIA,Dolphins,Miami Dolphins,BUF,Bills,Buffalo Bills,17,34,-11.5,50.5
ChatPilot,Colts,27,Titans,20,INDTEN,4765708,IND,Colts,Indianapolis Colts,TEN,Titans,Tennessee Titans,27,20,4,43.5
ChatPilot,Steelers,23,Patriots,20,PITNE,4765709,PIT,Steelers,Pittsburgh Steelers,NE,Patriots,New England Patriots,23,20,1.5,44.5
ChatPilot,Buccaneers,27,Jets,13,NYJTB,4765710,NYJ,Jets,New York Jets,TB,Buccaneers,Tampa Bay Buccaneers,13,27,-6.5,43.5
ChatPilot,Commanders,23,Raiders,17,LVWAS,4765711,LV,Raiders,Las Vegas Raiders,WAS,Commanders,Washington Commanders,17,23,-3.5,44
ChatPilot,Eagles,27,Rams,21,LARPHI,4765712,LAR,Rams,Los Angeles Rams,PHI,Eagles,Philadelphia Eagles,21,27,-3,44.5
ChatPilot,Falcons,27,Panthers,17,ATLCAR,4765713,ATL,Falcons,Atlanta Falcons,CAR,Panthers,Carolina Panthers,27,17,5.5,44
ChatPilot,Vikings,24,Bengals,20,CINMIN,4765714,CIN,Bengals,Cincinnati Bengals,MIN,Vikings,Minnesota Vikings,20,24,-3,42
ChatPilot,Jaguars,24,Texans,20,HOUJAC,4765715,HOU,Texans,Houston Texans,JAC,Jaguars,Jacksonville Jaguars,20,24,-1.5,44
ChatPilot,Packers,27,Browns,13,GBCLE,4765716,GB,Packers,Green Bay Packers,CLE,Browns,Cleveland Browns,27,13,7,41.5
ChatPilot,Chargers,27,Broncos,21,DENLAC,4765717,DEN,Broncos,Denver Broncos,LAC,L.A. Chargers,Los Angeles Chargers,21,21,-3,46
ChatPilot,Seahawks,27,Saints,17,NOSEA,4765718,NO,Saints,New Orleans Saints,SEA,Seahawks,Seattle Seahawks,17,27,-7,42
ChatPilot,49ers,26,Cardinals,23,ARISF,4765719,ARI,Cardinals,Arizona Cardinals,SF,49ers,San Francisco 49ers,23,26,-3,44.5
ChatPilot,Cowboys,33,Bears,30,DALCHI,4765720,DAL,Cowboys,Dallas Cowboys,CHI,Bears,Chicago Bears,33,30,1,50.5
ChatPilot,Chiefs,27,Giants,17,KCNYG,4765721,KC,Chiefs,Kansas City Chiefs,NYG,N.Y. Giants,New York Giants,27,17,6,45
ChatPilot,Ravens,30,Lions,24,DETBAL,4765722,DET,Lions,Detroit Lions,BAL,Ravens,Baltimore Ravens,24,30,-4.5,53
DanNFL,Bills,37,Dolphins,24,MIABUF,4765707,MIA,Dolphins,Miami Dolphins,BUF,Bills,Buffalo Bills,24,37,-11.5,50.5
DanNFL,Colts,26,Titans,21,INDTEN,4765708,IND,Colts,Indianapolis Colts,TEN,Titans,Tennessee Titans,26,21,4,43.5
DanNFL,Steelers,25,Patriots,22,PITNE,4765709,PIT,Steelers,Pittsburgh Steelers,NE,Patriots,New England Patriots,25,22,1.5,44.5
DanNFL,Buccaneers,24,Jets,19,NYJTB,4765710,NYJ,Jets,New York Jets,TB,Buccaneers,Tampa Bay Buccaneers,19,24,-6.5,43.5
DanNFL,Commanders,20,Raiders,17,LVWAS,4765711,LV,Raiders,Las Vegas Raiders,WAS,Commanders,Washington Commanders,17,20,-3.5,44
DanNFL,Eagles,24,Rams,20,LARPHI,4765712,LAR,Rams,Los Angeles Rams,PHI,Eagles,Philadelphia Eagles,20,24,-3,44.5
