Source,Winner,Winner Score,Loser,Loser Score
DataSkrive,Ravens,36,Browns,10
DataSkrive,Broncos,27,Colts,18
DataSkrive,Cardinals,34,Panthers,15
DataSkrive,Eagles,22,Chiefs,21
DataSkrive,Vikings,29,Falcons,17
DataSkrive,Buccaneers,26,Texans,22
DataSkrive,Chargers,26,Raiders,17
Jeremy Cluff,Packers,27,Commanders,23
Jeremy Cluff,Ravens,38,Browns,20
Jeremy Cluff,Bengals,24,Jaguars,20
Jeremy Cluff,Cowboys,30,Giants,17
Jeremy Cluff,Lions,31,Bears,23
Jeremy Cluff,Patriots,23,Dolphins,20
Jeremy Cluff,49ers,27,Saints,20
Jeremy Cluff,Bills,36,Jets,21
Jeremy Cluff,Steelers,21,Seahawks,20
Jeremy Cluff,Rams,23,Titans,16
Jeremy Cluff,Cardinals,28,Panthers,17
Jeremy Cluff,Broncos,23,Colts,20
Jeremy Cluff,Eagles,27,Chiefs,20
Jeremy Cluff,Vikings,24,Falcons,23
Jeremy Cluff,Buccaneers,27,Texans,24
Jeremy Cluff,Chargers,23,Raiders,20
TimCrean,Packers,24,,7
TimCrean,Ravens,30,,0
TimCrean,Rams,20,,0
TimCrean,Lions,28,,6
TimCrean,Cowboys,27,,2
TimCrean,Bills,35,,3
TimCrean,49ers,14,,0
TimCrean,Patriots,16,,0
TimCrean,Bengals,24,,3
TimCrean,Steelers,16,,0
TimCrean,Broncos,24,,0
TimCrean,Cardinals,21,,7
TimCrean,Eagles,28,,3
TimCrean,Falcons,28,,7
TimCrean,Buccaneers,27,,4
TimCrean,Chargers,33,,7
Sportsnaut,Packers,27,Commanders,24
Sportsnaut,Cowboys,20,Giants,16
Sportsnaut,Bengals,28,Jaguars,27
Sportsnaut,Lions,31,Bears,21
Sportsnaut,Rams,20,Titans,13
Sportsnaut,Patriots,21,Dolphins,17
Sportsnaut,49ers,28,Saints,17
Sportsnaut,Bills,34,Jets,24
Sportsnaut,Steelers,16,Seahawks,13
Sportsnaut,Ravens,27,Browns,17
Sportsnaut,Cardinals,27,Panthers,17
Sportsnaut,Eagles,34,Chiefs,21
Sportsnaut,Vikings,28,Falcons,24
Sportsnaut,Buccaneers,24,Texans,20
Sportsnaut,Chargers,31,Raiders,28
VinnieIyer,Packers,27,Commanders,24
VinnieIyer,Chiefs,30,Eagles,27
VinnieIyer,Steelers,27,Seahawks,14
VinnieIyer,Buccaneers,23,Texans,2
VinnieIyer,Bengals,,Jaguars,24
VinnieIyer,Cowboys,k: Cowboys 30,Giants,14
VinnieIyer,Lions,24,Bears,21
VinnieIyer,Rams,24,Titans,10
VinnieIyer,Patriots,23,Dolphins,2
VinnieIyer,49ers,33,Saints,13
VinnieIyer,Bills,24,Jets,20
VinnieIyer,Ravens,34,Browns,10
VinnieIyer,Broncos,20,Colts,17
VinnieIyer,Cardinals,24,Panthers,20
VinnieIyer,Vikings,30,Falcons,20
VinnieIyer,Chargers,27,Raiders,20
ESPN,,,,
ESPN,,,,
ESPN,,,,
ESPN,,,,
ESPN,,,,
ESPN,,,,
ESPN,,,,
ESPN,,,,
ESPN,,,,
ESPN,,,,
ESPN,,,,
ESPN,,,,
ESPN,,,,
ESPN,,,,
ESPN,,,,
Dimers,RAMS,23,TITANS,18
Dimers,STEELERS,21,SEAHAWKS,19
Dimers,BILLS,27,JETS,21
Dimers,LIONS,27,BEARS,20
Dimers,COWBOYS,24,GIANTS,20
Dimers,RAVENS,28,BROWNS,17
Dimers,49ERS,22,SAINTS,19
Dimers,DOLPHINS,23,PATRIOTS,21
Dimers,BENGALS,26,JAGUARS,23
Dimers,CARDINALS,25,PANTHERS,19
Dimers,BRONCOS,23,COLTS,21
Dimers,EAGLES,24,CHIEFS,21
Dimers,VIKINGS,24,FALCONS,21
Dimers,TEXANS,22,BUCCANEERS,21
Dimers,CHARGERS,24,RAIDERS,21
AliNFL,Ravens,28,Browns,17
BrookeNFL,Ravens,33,Browns,23
DanNFL,Ravens,27,Browns,14
GennaroNFL,Ravens,27,Browns,17
TomNFL,Ravens,28,Browns,14
AliNFL,Jaguars,27,Bengals,25
BrookeNFL,Bengals,28,Jaguars,24
DanNFL,Jaguars,26,Bengals,23
GennaroNFL,Bengals,28,Jaguars,25
TomNFL,Bengals,27,Jaguars,24
AliNFL,Cowboys,24,Giants,18
BrookeNFL,Cowboys,31,Giants,24
DanNFL,Cowboys,25,Giants,18
GennaroNFL,Cowboys,24,Giants,13
TomNFL,Cowboys,26,Giants,17
AliNFL,Lions,28,Bears,21
BrookeNFL,Lions,26,Bears,21
DanNFL,Lions,29,Bears,21
GennaroNFL,Lions,31,Bears,13
TomNFL,Lions,28,Bears,17
AliNFL,Patriots,23,Dolphins,20
