SHORT NAME,GAMEID,AWAY,HOME
Bengals,CINKC,CIN,KC
Chiefs,CINKC,CIN,KC
Bills,BUFMIA,BUF,MIA
Dolphins,BUFMIA,BUF,MIA
Saints,NODAL,NO,DAL
Cowboys,NODAL,NO,DAL
Raiders,LVBAL,LV,BAL
Ravens,LVBAL,LV,BAL
Giants,NYGWAS,NYG,WAS
Commanders,NYGWAS,NYG,WAS
Chargers,LACCAR,LAC,CAR
Panthers,LACCAR,LAC,CAR
Colts,INDGB,IND,GB
Packers,INDGB,IND,GB
49ers,SFMIN,SF,MIN
Vikings,SFMIN,SF,MIN
Browns,CLEJAC,CLE,JAC
Jaguars,CLEJAC,CLE,JAC
Seahawks,SEANE,SEA,NE
Patriots,SEANE,SEA,NE
Pats,SEANE,SEA,NE
Jets,NYJTEN,NYJ,TEN
Titans,NYJTEN,NYJ,TEN
Buccaneers,TBDET,TB,DET
Bucs,TBDET,TB,DET
Lions,TBDET,TB,DET
Rams,LARARI,LAR,ARI
Cardinals,LARARI,LAR,ARI
Steelers,PITDEN,PIT,DEN
Broncos,PITDEN,PIT,DEN
Bears,CHIHOU,CHI,HOU
Texans,CHIHOU,CHI,HOU
Falcons,ATLPHI,ATL,PHI
Eagles,ATLPHI,ATL,PHI
