SHORT NAME,GAMEID,AWAY,HOME
Patriots,NENYJ,NE,NYJ
Pats,NENYJ,NE,NYJ
Jets,NENYJ,NE,NYJ
Bears,CHIIND,CHI,IND
Colts,CHIIND,CHI,IND
Giants,NYGCLE,NYG,CLE
Browns,NYGCLE,NYG,CLE
Eagles,PHINO,PHI,NO
Saints,PHINO,PHI,NO
Packers,GBTEN,GB,TEN
Titans,GBTEN,GB,TEN
Chargers,LACPIT,LAC,PIT
Steelers,LACPIT,LAC,PIT
Texans,HOUMIN,HOU,MIN
Vikings,HOUMIN,HOU,MIN
Broncos,DENTB,DEN,TB
Buccaneers,DENTB,DEN,TB
Bucs,DENTB,DEN,TB
Panthers,CARLV,CAR,LV
Raiders,CARLV,CAR,LV
Dolphins,MIASEA,MIA,SEA
Seahawks,MIASEA,MIA,SEA
Lions,DETARI,DET,ARI
Cardinals,DETARI,DET,ARI
49ers,SFLAR,SF,LAR
Rams,SFLAR,SF,LAR
Ravens,BALDAL,BAL,DAL
Cowboys,BALDAL,BAL,DAL
Chiefs,KCATL,KC,ATL
Falcons,KCATL,KC,ATL
Jaguars,JACBUF,JAC,BUF
Bills,JACBUF,JAC,BUF
Commanders,WASCIN,WAS,CIN
Bengals,WASCIN,WAS,CIN
