SHORT NAME,GAMEID,AWAY,HOME,GAMEINT,SPREAD,TOTAL
Bears,CHIGB,CHI,GB,4765867,-6.5,44.5
Bengals,CINBUF,CIN,BUF,4765870,-5.5,54
Bills,CINBUF,CIN,BUF,4765870,-5.5,54
Broncos,DENLV,DEN,LV,4765869,7.5,40
Browns,TENCLE,TEN,CLE,4765863,-4,33.5
Buccaneers,NOTB,NO,TB,4765865,-8,42
Bucs,NOTB,NO,TB,4765865,-8,42
Cardinals,LARARI,LAR,ARI,4765871,9,47.5
Chargers,PHILAC,PHI,LAC,4765873,3,40.5
Chiefs,HOUKC,HOU,KC,4765872,-3,41.5
Colts,INDJAX,IND,JAX,4765866,1.5,47.5
Commanders,WASMIN,WAS,MIN,4765868,-2,42.5
Cowboys,DALDET,DAL,DET,4765860,-3,54.5
Dolphins,MIANYJ,MIA,NYJ,4765864,3,41
Eagles,PHILAC,PHI,LAC,4765873,3,40.5
Falcons,SEAATL,SEA,ATL,4765862,7,44.5
Jaguars,INDJAX,IND,JAX,4765866,1.5,47.5
Jets,MIANYJ,MIA,NYJ,4765864,3,41
Lions,DALDET,DAL,DET,4765860,-3,54.5
Packers,CHIGB,CHI,GB,4765867,-6.5,44.5
Raiders,DENLV,DEN,LV,4765869,7.5,40
Rams,LARARI,LAR,ARI,4765871,9,47.5
Ravens,PITBAL,PIT,BAL,4765861,-5.5,43
Saints,NOTB,NO,TB,4765865,-8,42
Seahawks,SEAATL,SEA,ATL,4765862,7,44.5
Steelers,PITBAL,PIT,BAL,4765861,-5.5,43
Texans,HOUKC,HOU,KC,4765872,-3,41.5
Titans,TENCLE,TEN,CLE,4765863,-4,33.5
Vikings,WASMIN,WAS,MIN,4765868,-2,42.5
,,,,,,
,,,,,,
GameIds,"[4765860, 4765861, 4765862, 4765863, 4765864, 4765865, 4765866, 4765867, 4765868, 4765869, 4765870, 4765871, 4765872, 4765873]",,,,,
