SHORT NAME,GAMEID,AWAY,HOME,GameInt,Spread,Total
49ers,ATLSF,ATL,SF,4765776,-2.5,47.5
Bears,NOCHI,NO,CHI,4765767,-5,46.5
Bengals,PITCIN,PIT,CIN,4765765,5.5,45
Broncos,NYGDEN,NYG,DEN,4765772,-7,40
Browns,MIACLE,MIA,CLE,4765768,-3,37.5
Buccaneers,TBDET,TB,DET,4765777,-5.5,52.5
Bucs,TBDET,TB,DET,4765777,-5.5,52.5
Cardinals,GBARI,GB,ARI,4765775,6.5,45
Chargers,INDLAC,IND,LAC,4765773,-2,48
Chiefs,LVKC,LV,KC,4765771,-13,44.5
Colts,INDLAC,IND,LAC,4765773,-2,48
Commanders,WASDAL,WAS,DAL,4765774,1.5,55
Cowboys,WASDAL,WAS,DAL,4765774,1.5,55
Dolphins,MIACLE,MIA,CLE,4765768,-3,37.5
Eagles,PHIMIN,PHI,MIN,4765770,1,43.5
Falcons,ATLSF,ATL,SF,4765776,-2.5,47.5
Giants,NYGDEN,NYG,DEN,4765772,-7,40
Jaguars,LARJAC,LAR,JAC,4765637,3,44.5
Jets,CARNYJ,CAR,NYJ,4765769,1.5,41.5
Lions,TBDET,TB,DET,4765777,-5.5,52.5
Packers,GBARI,GB,ARI,4765775,6.5,45
Panthers,CARNYJ,CAR,NYJ,4765769,1.5,41.5
Patriots,NETEN,NE,TEN,4765766,7,42.5
Pats,NETEN,NE,TEN,4765766,7,42.5
Raiders,LVKC,LV,KC,4765771,-13,44.5
Rams,LARJAC,LAR,JAC,4765637,3,44.5
Saints,NOCHI,NO,CHI,4765767,-5,46.5
Seahawks,HOUSEA,HOU,SEA,4765778,-3,40.5
Steelers,PITCIN,PIT,CIN,4765765,5.5,45
Texans,HOUSEA,HOU,SEA,4765778,-3,40.5
Titans,NETEN,NE,TEN,4765766,7,42.5
Vikings,PHIMIN,PHI,MIN,4765770,1,43.5
