Source,Winner,Winner Score,Loser,Loser Score,GameID,Away Code,Away Short Name,Away Full Name,Home Code,Home Short Name,Home Full Name,AwayScore,HomeScore
PetePrisco,Falcons,30,Saints,17,ATLNO,ATL,Falcons,Atlanta Falcons,NO,Saints,New Orleans Saints,30,17
BleacherReport,Falcons,23,Saints,20,ATLNO,ATL,Falcons,Atlanta Falcons,NO,Saints,New Orleans Saints,23,20
BillBender,Falcons,31,Saints,27,ATLNO,ATL,Falcons,Atlanta Falcons,NO,Saints,New Orleans Saints,31,27
DataSkrive,Falcons,27,Saints,22,ATLNO,ATL,Falcons,Atlanta Falcons,NO,Saints,New Orleans Saints,27,22
MarcusMosher,Falcons,28,Saints,24,ATLNO,ATL,Falcons,Atlanta Falcons,NO,Saints,New Orleans Saints,28,24
Sportsnaut,Falcons,28,Saints,17,ATLNO,ATL,Falcons,Atlanta Falcons,NO,Saints,New Orleans Saints,28,17
VinnieIyer,Saints,24,Falcons,21,ATLNO,ATL,Falcons,Atlanta Falcons,NO,Saints,New Orleans Saints,21,24
Dimers,FALCONS,25,SAINTS,21,ATLNO,ATL,Falcons,Atlanta Falcons,NO,Saints,New Orleans Saints,25,21
LorenzoReyes,Falcons,27,Saints,21,ATLNO,ATL,Falcons,Atlanta Falcons,NO,Saints,New Orleans Saints,27,21
TylerDragon,Falcons,25,Saints,20,ATLNO,ATL,Falcons,Atlanta Falcons,NO,Saints,New Orleans Saints,25,20
RichardMorin,Falcons,24,Saints,9,ATLNO,ATL,Falcons,Atlanta Falcons,NO,Saints,New Orleans Saints,24,9
JordanMendoza,Falcons,27,Saints,20,ATLNO,ATL,Falcons,Atlanta Falcons,NO,Saints,New Orleans Saints,27,20
PetePrisco,Bills,30,Colts,17,BUFIND,BUF,Bills,Buffalo Bills,IND,Colts,Indianapolis Colts,30,17
BleacherReport,Bills,27,Colts,20,BUFIND,BUF,Bills,Buffalo Bills,IND,Colts,Indianapolis Colts,27,20
BillBender,Bills,30,Colts,20,BUFIND,BUF,Bills,Buffalo Bills,IND,Colts,Indianapolis Colts,30,20
DataSkrive,Bills,26,Colts,20,BUFIND,BUF,Bills,Buffalo Bills,IND,Colts,Indianapolis Colts,26,20
MarcusMosher,Colts,27,Bills,24,BUFIND,BUF,Bills,Buffalo Bills,IND,Colts,Indianapolis Colts,24,27
Sportsnaut,Bills,31,Colts,21,BUFIND,BUF,Bills,Buffalo Bills,IND,Colts,Indianapolis Colts,31,21
VinnieIyer,Bills,27,Colts,13,BUFIND,BUF,Bills,Buffalo Bills,IND,Colts,Indianapolis Colts,27,13
Dimers,BILLS,25,COLTS,21,BUFIND,BUF,Bills,Buffalo Bills,IND,Colts,Indianapolis Colts,25,21
LorenzoReyes,Bills,28,Colts,17,BUFIND,BUF,Bills,Buffalo Bills,IND,Colts,Indianapolis Colts,28,17
TylerDragon,Bills,28,Colts,18,BUFIND,BUF,Bills,Buffalo Bills,IND,Colts,Indianapolis Colts,28,18
RichardMorin,Bills,33,Colts,10,BUFIND,BUF,Bills,Buffalo Bills,IND,Colts,Indianapolis Colts,33,10
JordanMendoza,Bills,31,Colts,23,BUFIND,BUF,Bills,Buffalo Bills,IND,Colts,Indianapolis Colts,31,23
PetePrisco,Ravens,34,Bengals,33,CINBAL,CIN,Bengals,Cincinnati Bengals,BAL,Ravens,Baltimore Ravens,33,34
BleacherReport,Ravens,30,Bengals,23,CINBAL,CIN,Bengals,Cincinnati Bengals,BAL,Ravens,Baltimore Ravens,23,30
BillBender,Ravens,32,Bengals,28,CINBAL,CIN,Bengals,Cincinnati Bengals,BAL,Ravens,Baltimore Ravens,28,32
DataSkrive,Ravens,34,Bengals,20,CINBAL,CIN,Bengals,Cincinnati Bengals,BAL,Ravens,Baltimore Ravens,20,34
MarcusMosher,Ravens,31,Bengals,27,CINBAL,CIN,Bengals,Cincinnati Bengals,BAL,Ravens,Baltimore Ravens,27,31
Sportsnaut,Ravens,34,Bengals,27,CINBAL,CIN,Bengals,Cincinnati Bengals,BAL,Ravens,Baltimore Ravens,27,34
VinnieIyer,Ravens,27,Bengals,24,CINBAL,CIN,Bengals,Cincinnati Bengals,BAL,Ravens,Baltimore Ravens,24,27
Dimers,RAVENS,30,BENGALS,23,CINBAL,CIN,Bengals,Cincinnati Bengals,BAL,Ravens,Baltimore Ravens,23,30
LorenzoReyes,Ravens,26,Bengals,24,CINBAL,CIN,Bengals,Cincinnati Bengals,BAL,Ravens,Baltimore Ravens,24,26
TylerDragon,Ravens,26,Bengals,24,CINBAL,CIN,Bengals,Cincinnati Bengals,BAL,Ravens,Baltimore Ravens,24,26
RichardMorin,Ravens,30,Bengals,23,CINBAL,CIN,Bengals,Cincinnati Bengals,BAL,Ravens,Baltimore Ravens,23,30
JordanMendoza,Bengals,29,Ravens,27,CINBAL,CIN,Bengals,Cincinnati Bengals,BAL,Ravens,Baltimore Ravens,29,27
PetePrisco,Chiefs,29,Broncos,17,DENKC,DEN,Broncos,Denver Broncos,KC,Chiefs,Kansas City Chiefs,17,29
BleacherReport,Chiefs,23,Broncos,17,DENKC,DEN,Broncos,Denver Broncos,KC,Chiefs,Kansas City Chiefs,17,23
BillBender,Chiefs,27,Broncos,17,DENKC,DEN,Broncos,Denver Broncos,KC,Chiefs,Kansas City Chiefs,17,27
DataSkrive,Chiefs,25,Broncos,16,DENKC,DEN,Broncos,Denver Broncos,KC,Chiefs,Kansas City Chiefs,16,25
MarcusMosher,Chiefs,22,Broncos,16,DENKC,DEN,Broncos,Denver Broncos,KC,Chiefs,Kansas City Chiefs,16,22
Sportsnaut,Chiefs,20,Broncos,16,DENKC,DEN,Broncos,Denver Broncos,KC,Chiefs,Kansas City Chiefs,16,20
VinnieIyer,Chiefs,30,Broncos,14,DENKC,DEN,Broncos,Denver Broncos,KC,Chiefs,Kansas City Chiefs,14,30
Dimers,CHIEFS,25,BRONCOS,18,DENKC,DEN,Broncos,Denver Broncos,KC,Chiefs,Kansas City Chiefs,18,25
LorenzoReyes,Chiefs,26,Broncos,20,DENKC,DEN,Broncos,Denver Broncos,KC,Chiefs,Kansas City Chiefs,20,26
TylerDragon,Chiefs,27,Broncos,16,DENKC,DEN,Broncos,Denver Broncos,KC,Chiefs,Kansas City Chiefs,16,27
RichardMorin,Chiefs,25,Broncos,13,DENKC,DEN,Broncos,Denver Broncos,KC,Chiefs,Kansas City Chiefs,13,25
JordanMendoza,Chiefs,22,Broncos,19,DENKC,DEN,Broncos,Denver Broncos,KC,Chiefs,Kansas City Chiefs,19,22
PetePrisco,Texans,28,Lions,27,DETHOU,DET,Lions,Detroit Lions,HOU,Texans,Houston Texans,27,28
BleacherReport,Lions,29,Texans,24,DETHOU,DET,Lions,Detroit Lions,HOU,Texans,Houston Texans,29,24
BillBender,Lions,31,Texans,20,DETHOU,DET,Lions,Detroit Lions,HOU,Texans,Houston Texans,31,20
DataSkrive,Lions,28,Texans,20,DETHOU,DET,Lions,Detroit Lions,HOU,Texans,Houston Texans,28,20
MarcusMosher,Lions,27,Texans,20,DETHOU,DET,Lions,Detroit Lions,HOU,Texans,Houston Texans,27,20
Sportsnaut,Lions,27,Texans,17,DETHOU,DET,Lions,Detroit Lions,HOU,Texans,Houston Texans,27,17
VinnieIyer,Lions,27,Texans,20,DETHOU,DET,Lions,Detroit Lions,HOU,Texans,Houston Texans,27,20
Dimers,LIONS,26,TEXANS,23,DETHOU,DET,Lions,Detroit Lions,HOU,Texans,Houston Texans,26,23
LorenzoReyes,Lions,31,Texans,23,DETHOU,DET,Lions,Detroit Lions,HOU,Texans,Houston Texans,31,23
TylerDragon,Lions,27,Texans,21,DETHOU,DET,Lions,Detroit Lions,HOU,Texans,Houston Texans,27,21
RichardMorin,Lions,31,Texans,20,DETHOU,DET,Lions,Detroit Lions,HOU,Texans,Houston Texans,31,20
JordanMendoza,Lions,33,Texans,29,DETHOU,DET,Lions,Detroit Lions,HOU,Texans,Houston Texans,33,29
PetePrisco,Rams,31,Dolphins,23,MIALAR,MIA,Dolphins,Miami Dolphins,LAR,L.A. Rams,Los Angeles Rams,23,31
BleacherReport,Dolphins,28,Rams,24,MIALAR,MIA,Dolphins,Miami Dolphins,LAR,L.A. Rams,Los Angeles Rams,28,24
BillBender,Rams,28,Dolphins,26,MIALAR,MIA,Dolphins,Miami Dolphins,LAR,L.A. Rams,Los Angeles Rams,26,28
DataSkrive,Rams,29,Dolphins,13,MIALAR,MIA,Dolphins,Miami Dolphins,LAR,L.A. Rams,Los Angeles Rams,13,29
MarcusMosher,Dolphins,30,Rams,26,MIALAR,MIA,Dolphins,Miami Dolphins,LAR,L.A. Rams,Los Angeles Rams,30,26
Sportsnaut,Rams,31,Dolphins,28,MIALAR,MIA,Dolphins,Miami Dolphins,LAR,L.A. Rams,Los Angeles Rams,28,31
VinnieIyer,Rams,24,Dolphins,20,MIALAR,MIA,Dolphins,Miami Dolphins,LAR,L.A. Rams,Los Angeles Rams,20,24
LorenzoReyes,Rams,24,Dolphins,20,MIALAR,MIA,Dolphins,Miami Dolphins,LAR,L.A. Rams,Los Angeles Rams,20,24
TylerDragon,Rams,24,Dolphins,22,MIALAR,MIA,Dolphins,Miami Dolphins,LAR,L.A. Rams,Los Angeles Rams,22,24
RichardMorin,Dolphins,30,Rams,20,MIALAR,MIA,Dolphins,Miami Dolphins,LAR,L.A. Rams,Los Angeles Rams,30,20
JordanMendoza,Rams,25,Dolphins,21,MIALAR,MIA,Dolphins,Miami Dolphins,LAR,L.A. Rams,Los Angeles Rams,21,25
PetePrisco,Vikings,31,Jaguars,23,MINJAC,MIN,Vikings,Minnesota Vikings,JAC,Jaguars,Jacksonville Jaguars,31,23
BleacherReport,Vikings,31,Jaguars,24,MINJAC,MIN,Vikings,Minnesota Vikings,JAC,Jaguars,Jacksonville Jaguars,31,24
BillBender,Vikings,28,Jaguars,21,MINJAC,MIN,Vikings,Minnesota Vikings,JAC,Jaguars,Jacksonville Jaguars,28,21
DataSkrive,Vikings,31,Jaguars,16,MINJAC,MIN,Vikings,Minnesota Vikings,JAC,Jaguars,Jacksonville Jaguars,31,16
MarcusMosher,Vikings,28,Jaguars,21,MINJAC,MIN,Vikings,Minnesota Vikings,JAC,Jaguars,Jacksonville Jaguars,28,21
Sportsnaut,Vikings,31,Jaguars,21,MINJAC,MIN,Vikings,Minnesota Vikings,JAC,Jaguars,Jacksonville Jaguars,31,21
VinnieIyer,Vikings,30,Jaguars,20,MINJAC,MIN,Vikings,Minnesota Vikings,JAC,Jaguars,Jacksonville Jaguars,30,20
Dimers,VIKINGS,25,JAGUARS,18,MINJAC,MIN,Vikings,Minnesota Vikings,JAC,Jaguars,Jacksonville Jaguars,25,18
LorenzoReyes,Vikings,23,Jaguars,14,MINJAC,MIN,Vikings,Minnesota Vikings,JAC,Jaguars,Jacksonville Jaguars,23,14
TylerDragon,Vikings,24,Jaguars,17,MINJAC,MIN,Vikings,Minnesota Vikings,JAC,Jaguars,Jacksonville Jaguars,24,17
RichardMorin,Jaguars,24,Vikings,21,MINJAC,MIN,Vikings,Minnesota Vikings,JAC,Jaguars,Jacksonville Jaguars,21,24
JordanMendoza,Vikings,24,Jaguars,22,MINJAC,MIN,Vikings,Minnesota Vikings,JAC,Jaguars,Jacksonville Jaguars,24,22
PetePrisco,Bears,27,Patriots,16,NECHI,NE,Patriots,New England Patriots,CHI,Bears,Chicago Bears,16,27
BleacherReport,Bears,21,Patriots,17,NECHI,NE,Patriots,New England Patriots,CHI,Bears,Chicago Bears,17,21
BillBender,Bears,21,Patriots,16,NECHI,NE,Patriots,New England Patriots,CHI,Bears,Chicago Bears,16,21
DataSkrive,Bears,27,Patriots,13,NECHI,NE,Patriots,New England Patriots,CHI,Bears,Chicago Bears,13,27
